,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE
301,1,3,0,0,3,2019,100.0,117624.0
302,1,3,1,0,2,2019,98.6,122796.1
303,1,1,1,0,3,2019,98.6,149692.7
304,1,3,1,0,2,2019,98.6,122796.1
305,0,1,0,0,4,2019,100.0,138861.0
306,1,1,1,0,3,2019,98.6,149692.7
307,1,3,0,0,2,2019,100.0,96366.0
308,1,2,0,0,3,2019,100.0,117021.0
309,1,2,1,0,4,2019,98.6,171357.0
310,0,2,1,0,2,2019,98.6,120813.4
311,1,3,1,0,2,2019,98.6,120813.4
312,1,1,1,0,4,2019,98.6,171357.0
313,0,1,0,0,2,2019,100.0,96595.0
314,1,2,0,0,4,2019,100.0,137426.0
315,0,3,0,0,2,2019,100.0,96595.0
316,0,1,0,0,3,2019,100.0,117021.0
317,1,1,0,1,4,2019,73.9,183878.2
318,1,3,0,0,4,2019,100.0,137426.0
319,1,2,0,0,4,2019,100.0,137426.0
320,1,1,1,0,1,2019,98.6,95540.6
321,1,2,0,1,4,2019,73.9,183878.2
322,1,2,0,0,2,2019,100.0,96595.0
323,1,3,1,0,2,2019,98.6,120813.4
324,1,2,1,0,2,2019,98.6,72546.7
325,1,2,0,0,3,2019,100.0,117021.0
326,1,3,0,0,4,2019,100.0,137426.0
327,1,3,1,0,2,2019,98.6,120813.4
328,1,3,1,0,2,2019,98.6,120813.4
329,0,2,0,0,3,2019,100.0,117021.0
330,1,3,1,0,2,2019,98.6,120813.4
331,1,3,1,0,2,2019,98.6,120813.4
332,1,1,0,0,4,2019,100.0,137426.0
333,1,3,0,0,2,2019,100.0,96595.0
334,1,2,1,0,1,2019,98.6,95540.6
335,1,2,1,0,4,2019,98.6,171357.0
336,1,3,0,0,2,2019,100.0,96595.0
337,1,3,1,0,2,2019,98.6,120813.4
338,1,2,0,1,4,2019,73.9,183878.2
339,1,3,1,0,2,2019,98.6,120813.4
340,1,3,1,0,2,2019,98.6,120813.4
341,1,3,1,0,1,2019,98.6,95540.6
342,1,3,1,0,2,2019,98.6,120813.4
343,0,2,0,0,3,2019,100.0,117021.0
344,0,2,0,1,3,2019,73.9,155479.0
345,1,3,0,0,4,2019,100.0,137426.0
346,1,2,0,0,3,2019,100.0,117021.0
347,1,2,0,0,4,2019,100.0,137426.0
348,0,2,0,0,4,2019,100.0,137426.0
349,0,1,1,0,2,2019,98.6,120137.9
350,0,3,1,0,3,2019,98.6,140051.7
351,1,2,1,0,2,2019,98.6,120137.9
352,0,1,1,0,2,2019,98.6,120137.9
353,1,3,1,0,2,2019,98.6,120137.9
354,0,3,0,0,2,2019,100.0,99736.0
355,0,1,1,0,2,2019,98.6,120137.9
356,1,1,1,0,3,2019,98.6,140051.7
357,1,2,1,0,4,2019,98.6,159945.2
358,1,3,0,0,3,2019,100.0,122117.0
